nohup: ignoring input
101 353 353
102 381 382
103 293 293
104 368 368
105 382 382
106 452 452
107 369 370
108 273 274
109 377 377
110 434 434
111 273 273
112 415 415
113 334 334
114 449 449
115 335 337
116 346 346
117 435 435
118 441 441
119 380 380
120 609 611
121 383 383
122 248 248
123 248 248
124 373 373
125 311 311
126 545 545
127 292 292
128 323 323
129 386 386
130 386 386
131 407 407
132 547 547
133 473 473
134 428 431
135 298 298
136 412 412
137 461 464
138 407 407
139 431 431
140 418 418
141 402 402
142 440 440
143 412 412
144 487 487
145 462 462
146 347 347
147 340 340
148 311 311
149 353 353
150 338 338
151 383 385
152 178 178
153 338 343
154 420 426
155 282 282
156 283 283
157 327 329
158 243 243
159 192 194
160 311 313
161 255 255
162 437 437
163 511 512
164 303 306
165 331 333
166 380 380
167 344 350
168 192 192
169 307 313
170 522 528
171 285 285
172 430 430
173 179 180
174 336 342
175 468 468
176 395 395
177 249 249
178 214 215
179 260 265
180 509 513
181 269 272
182 459 466
183 325 326
184 248 248
185 303 309
186 423 437
187 350 350
188 290 293
189 197 197
190 179 179
191 231 231
192 335 339
193 250 250
194 375 375
195 333 334
196 235 236
197 372 372
198 190 190
199 437 438
200 289 289
201 322 322
202 231 231
203 384 384
204 323 323
205 354 354
206 420 420
207 232 232
208 246 249
209 185 185
210 336 336
211 423 423
212 435 435
213 201 201
214 305 305
215 367 367
216 387 387
217 326 326
218 341 341
219 513 513
220 473 473
221 366 368
222 171 175
223 265 265
224 351 351
225 487 487
226 404 404
227 246 246
228 157 157
229 160 160
230 172 172
231 171 171
232 289 292
233 391 391
234 298 298
235 185 185
236 175 175
237 160 161
238 169 169
239 249 249
240 394 396
241 285 285
242 202 202
243 341 342
244 174 174
245 145 145
246 202 202
247 421 421
248 194 194
249 223 223
250 207 207
251 273 274
252 286 286
253 214 214
254 245 245
255 404 404
256 287 287
257 212 212
258 261 261
259 247 247
260 328 328
261 281 281
262 324 324
263 321 324
264 311 312
265 233 233
266 350 351
267 238 238
268 331 331
269 316 316
270 250 250
271 265 266
272 367 367
273 245 245
274 316 316
275 221 222
276 319 319
277 281 281
278 229 229
279 285 285
280 400 401
281 225 225
282 334 334
283 220 220
284 271 277
285 284 284
286 320 320
287 170 175
288 259 259
289 395 395
290 259 259
291 225 225
292 369 369
293 378 378
294 423 423
295 215 215
296 250 250
297 228 228
298 248 249
299 240 241
300 457 457
